pl_orbper,pl_rade,pl_bmasse,st_teff,st_rad,st_mass,discoverymethod
28.735327,7.322,,3572.0,0.585,0.57,Transit
28.7342,8.22,,,0.664,,Transit
1.72767,21.3,,,0.37,,Transit
0.728639,17.2,,,0.69,,Transit
0.36432247904,6.95273914,,3473.0,0.347331,,Transit
15.246593,78.0,,,1.91,,Transit
0.81314,1.15,,4597.0,0.66,0.66,Transit
0.813149,1.14414279,,4460.0,0.615543,0.642263,Transit
0.813143,1.1,,4460.0,0.62,,Transit
2.30183,1.12,,4616.52,0.762602,0.73,Transit
2.302368,1.31258765,,4720.0,0.710995,,Transit
6.17887,8.84,,4719.28,0.849432,0.756,Transit
6.178369,9.91257877,,5015.0,0.789478,,Transit
0.365257,1.05548088,,5456.0,0.875749,0.939509,Transit
0.365261,1.0,,5456.0,0.88,,Transit
0.3652575,0.935,1.14,5334.0,0.86,0.89,Transit
10.062106,2.63456976,,5489.0,0.892097,0.932757,Transit
10.06049,2.64,,5503.0,0.95,0.92,Transit
18.10549,2.09985108,,6213.0,1.224685,,Transit
21.06884,1.75,,5677.0,0.92,0.86,Transit
21.070201,1.65007129,,5728.0,0.890903,,Transit
12.42205,2.26,,5425.0,0.83,0.9,Transit
12.421078,2.20753881,,5419.0,0.829915,0.8857,Transit
3.705871,3.17824034,,5649.0,0.913754,0.982829,Transit
9.283188,6.11721229,,4972.0,2.568173,0.986876,Transit
21.204739,9.11013939,,5154.0,1.761722,,Transit
13.38382,2.7,,5113.71,0.65973,0.86,Transit
13.383629,2.87289326,,5216.0,0.815235,,Transit
9.45889,1.44,,4842.0,0.69,0.75,Transit
9.457747,1.48630496,,4885.0,0.725626,0.776634,Transit
6.673117,2.46610713,,4937.0,0.762201,0.826112,Transit
3.347872,28.1,,,2.2,,Transit
3.32257,2.53,,,1.108,,Transit
,44.0,,,1.6,,Transit
,8.7,,,0.96,,Transit
28.29213,3.55,,,0.96,,Transit
18.8652,1.57,,,0.642,,Transit
7.434876,32.0,,,1.74,,Transit
0.2990737,7.6,,,0.231,,Transit
5.88165,2.58,,,1.37,,Transit
1.385246,5.01,,,1.407,,Transit
1.38521606684,6.52719853,,6294.0,1.451,,Transit
1.72397,1.33,,,0.885,,Transit
1.529084,48.0,,,1.654,,Transit
36.109,8.0,,,0.504,,Transit
36.0861607,,,4726.0,0.67,0.68,Transit
6.45795,2.78,,,0.9389,,Transit
6.26561,0.77,,,0.299,,Transit
3.28963,0.51,,,0.299,,Transit
5.81861,3.4,,,0.38,,Transit
5.19287,1.29,,,0.826,,Transit
3.39934,1.08,,,0.826,,Transit
7.07737,2.1,,,0.662,,Transit
24.4472,1.82,,,0.647,,Transit
5.31471,1.45,,,0.355,,Transit
3.84981,1.86,,,1.42,,Transit
20.2244,2.94,,,0.8325,,Transit
11.02066,2.061,,6138.0,1.486,1.158,Transit
11.0213,2.25,,,1.507,,Transit
37.4059,2.32,,,0.581,,Transit
15.7512,1.38,,,0.582,,Transit
20.9913,1.44,,,0.386,,Transit
5.51633,1.38,,,0.306,,Transit
14.5616,2.82,,,0.849,,Transit
12.89398,1.12,,,0.191,,Transit
12.0808,2.53,,,0.682,,Transit
0.4520313,5.3,,,0.569,,Transit
0.45220130587,7.91722863,,3739.0,0.633946,,Transit
11.2362,2.25,,,0.955,,Transit
19.507428,1.92,,4857.0,0.72,0.74,Transit
19.508,2.11,,,0.576,,Transit
9.35739,2.69,,,0.595,,Transit
8.841,2.43,,,0.584,,Transit
,4.31,,,1.294,,Transit
39.5438,3.28,,,1.294,,Transit
,3.26,,,1.294,,Transit
26.8662,2.95,,,1.294,,Transit
6.83292,1.3,,,0.18,,Transit
2.78711,2.0,,,0.507,,Transit
2.787174,1.65,,3804.0,0.46,0.49,Transit
5.17518,1.53,,,0.826,,Transit
4.70751,1.52,,,0.998,,Transit
1.605718,16.0,,,1.9,,Transit
51.735,15.3,,,1.511,,Transit
3.56467,1.62,,,0.564,,Transit
21.0791,2.71,,,1.362,,Transit
15.9489,2.48,,,1.29,,Transit
0.6962935,3.85,,,1.107,,Transit
1.852487,36.8,,,2.479,,Transit
28.24765,38.5,,,3.57,,Transit
25.3606,3.11,,,0.815,,Transit
15.7086,1.96,,,0.595,,Transit
9.886,1.59,,,0.595,,Transit
4.07337,0.928,,,0.794,,Transit
