pl_orbper,pl_rade,pl_bmasse,st_teff,st_rad,st_mass,discoverymethod
,14.01125,1906.98,3965.42,0.562566,0.556419,Imaging
,12.6,2542.627256,9552.0,,0.62,Imaging
110.9,7.87,47.6725,4949.0,2.62,1.47,Radial Velocity
1276.46,12.5,3257.74117175,6156.77,1.56,1.3,Radial Velocity
,1.63,3.3,,,0.06,Microlensing
2.828042,16.14,291.438,5675.0,1.116,1.078,Transit
4.03519,9.92,415.704,5945.0,1.01,1.09,Transit
2.9444256,10.783,280.95,5150.0,0.765,0.78,Transit
14.646008,2.82,324.0,5723.0,0.899,0.95,Transit
48.648,2.8,16.3,5693.0,1.03,1.1,Transit
157.072878,3.38,13.0,5594.0,1.3,1.078,Transit
8.410894,1.38,2.48,3903.0,0.504,0.553,Transit
8.847940445,1.54502915,3.0,3867.0,0.552,0.581,Transit
42.8961,2.04,7.93,5194.0,0.89,0.88,Transit
6.88734,1.34,4.01,5837.0,1.51,1.13,Transit
27.453592,0.861,4.3,4909.0,0.724,0.803,Transit
5.77954,1.65623882,3.38,4132.0,0.726119,0.65,Transit
7.57686,0.88,4.0,3770.0,0.5066,0.48,Transit
4.043540001,1.39109603,2.51,3871.0,0.532,0.573,Transit
17.76080053,2.07,4.94,4005.0,0.53,0.55,Transit
1.151166506,1.6,3.19,3934.0,0.54,0.56,Transit
3.023573,10.0,71.8,5285.0,0.914196,0.92,Radial Velocity
963.0,13.2,807.25,5310.0,0.85,0.95,Radial Velocity
1.3283,12.1,5838.29,5036.0,1.04137,0.4,Radial Velocity
16.57110363,2.39,6.3,5388.0,0.84,0.88,Transit
,13.7,346.43296363,,,0.69,Microlensing
24.310856,2.34,6.08,5923.0,1.735,1.105,Transit
,30.2643,3496.0,4371.0,0.27,0.33,Imaging
493.7,13.7,349.6,5135.0,0.840622,0.853,Radial Velocity
466.2,13.6,435.41,6188.0,1.79647,1.365,Radial Velocity
2172.0,14.2,171.0,4962.0,0.79,0.78,Radial Velocity
1333.0,13.2,819.97,6254.0,1.31,1.28,Radial Velocity
288.822,8.564,69.92,5913.0,1.1618,1.0479,Transit
131.458,8.16,40.363,5606.0,1.0284,0.8877,Transit
1840.0,13.3,797.74930157,5646.0,1.175816,0.99,Radial Velocity
2.875317,9.718,2302.899,4595.0,0.694,0.756,Transit
1.212884,15.334,664.237,5905.0,1.203,1.13,Transit
6.988055,1.15,7.3,5631.0,0.802,0.87,Transit
4.44448017,1.78,3.82,5961.0,1.09,1.06,Transit
,12.1,6515.515,9193.75,,3.75,Imaging
0.7826942,1.68,3.46,4099.0,0.68,0.65,Transit
428.5,12.5,2790.43,4330.0,31.88,1.23,Radial Velocity
,12.5,2809.60311788,,,0.36,Microlensing
621.99,12.4,3963.17,4137.0,49.0,2.8,Radial Velocity
1.217514,12.442,8654.15,6516.0,1.471,1.335,Transit
578.2,13.0,1334.886,4296.0,17.3,0.8,Radial Velocity
29.393195,2.66,7.56,6106.0,1.359,1.248,Transit
51.805612,3.15,6.2,5194.0,0.84,0.901,Transit
49.6077331,1.96,4.5,5213.0,0.78,0.86,Transit
11.242861,1.46,2.73,6090.0,1.264,1.072,Transit
24.99324193,2.25,5.69,5809.0,1.37,1.05,Transit
3.5852313,14.84069045,189.42573057,5804.0,1.105,1.028,Transit
9.032178,1.38,2.48,4385.0,0.49,0.54,Transit
3.25427,1.61,3.22,6077.0,1.288,1.044,Transit
7.781987,1.2,1.87,5764.0,1.185,0.957,Transit
35.59730148,4.14042267,16.0,6212.0,1.209,1.082,Transit
7.06424,2.05,3.61,5078.0,0.806,0.853,Transit
21.587475,2.2,5.48,6050.0,1.216,0.982,Transit
